product_id,sales,view_count
6551491,2100,50000
6448424,1000,20000
6154808,17000,310000
6520342,1400,50000
6154816,16000,240000
6238769,20000,270000
6190784,50,200
6154823,8300,190000
6230348,4100,70000
6197077,9500,150000
6213122,6700,190000
6148671,14000,110000
6109248,5800,60000
6520341,1100,60000
6317950,3300,50000
6108801,6000,100000
6201953,2100,90000
6104960,19000,90000
6154825,1900,40000
6219957,5400,60000
6391150,3400,50000
6359182,1600,130000
6497835,600,15000
6429010,1000,80000
6345635,300,19000
6237058,50,3200
6204360,700,30000
5945896,7000,50000
6234189,1300,19000
6038616,1200,6300
6108783,2500,40000
6116290,2200,20000
6184022,7600,90000
6102395,13000,100000
6307599,1600,50000
6429005,1400,80000
6265546,3400,60000
6103287,3800,70000
6156527,1900,30000
6328416,50,450
6014700,2900,90000
6308657,1700,50000
6200657,8400,110000
6497498,900,18000
6389199,400,30000
6154812,2800,70000
5951638,700,8700
6178824,3300,100000
6137637,700,10000
6116285,2500,20000
6146506,1600,30000
6049462,1600,60000
6448423,100,8200
6099694,3400,50000
6263413,2200,50000
6403704,50,9500
6287145,2200,40000
5929169,3700,20000
6141075,50,1700
6102710,100,2400
6154806,1400,40000
6270421,3400,60000
6201891,3400,80000
6104962,4400,30000
6369178,100,2900
6326865,400,20000
6316101,200,6800
6203119,2400,100000
6391414,1100,30000
5701260,300,4800
5849336,2900,50000
6048841,1000,18000
6424498,700,20000
6359013,2700,90000
6214101,300,7700
6282162,50,2800
6182541,2500,70000
5449070,1200,14000
6109259,3500,30000
6136748,100,5400
6121803,7000,70000
6081754,50,1600
6155200,1400,17000
6110332,800,13000
6317949,400,16000
6268037,100,10000
5913401,1500,30000
6041592,2000,30000
6270505,1700,20000
6401919,400,14000
6212885,1300,16000
6221825,2000,20000
6137634,700,10000
6259330,400,7000
5937501,1800,20000
6289336,300,19000
6386116,600,20000
6230375,50,2000
5661639,200,7900
6299269,200,12000
5982930,300,20000
6235439,700,20000
6197073,700,16000
5922490,2300,20000
5942616,900,18000
6308627,400,11000
6014456,600,30000
5915555,1500,20000
5951630,1400,17000
5821914,200,6900
6146048,100,3900
6139399,1100,17000
6109652,1500,19000
6433502,100,3300
6236479,2400,20000
6226653,600,20000
5849460,800,40000
5989916,800,9400
5657923,400,11000
5657924,400,18000
6471359,100,12000
6218111,1200,20000
6245413,100,10000
5975444,300,5500
5913494,7000,110000
6065391,500,18000
6238817,1400,14000
6251490,50,3100
6092155,800,17000
6253994,100,5800
6211467,50,2300
6221490,100,2800
6110567,200,7300
6222099,1200,50000
6154671,1700,50000
5879464,600,20000
6103310,300,13000
6183520,1200,30000
6369160,50,3200
5627632,600,12000
5944377,600,10000
6156717,2600,50000
6109260,700,8600
6130305,600,11000
6294241,200,6700
6252699,100,7600
5657927,200,9700
6481870,100,6300
6307390,900,20000
6262283,100,11000
6204872,1300,80000
6230378,800,19000
6176397,100,4500
6027807,50,1200
6052100,100,2300
6284794,100,4700
5627637,100,2800
6110854,2500,19000
6030424,3000,30000
6189135,1200,20000
6222308,400,9600
6212738,200,6700
6189119,800,15000
5915547,2300,15000
6386887,200,30000
6013679,3000,30000
6021028,50,3900
6259333,400,11000
6109561,100,1600
5849398,3700,70000
6326730,100,14000
5661641,300,10000
6138139,900,20000
6013713,8300,110000
5751971,400,5900
6084669,17000,30000
6338078,400,20000
6110840,200,4600
6176174,2100,40000
6049591,200,3200
5993397,50,2900
6289360,100,7300
6290681,100,6200
6123031,300,9000
6036991,100,2000
5942667,1100,20000
6334177,300,11000
6245773,900,19000
6081985,200,12000
6071184,1100,8200
6056986,100,4300
6299240,100,4500
6277097,300,5200
6313751,100,3700
5661405,400,19000
6237784,600,13000
6065398,50,1900
6551431,200,8400
6277980,50,4600
6215886,2200,50000
6455833,50,7900
6151613,50,2100
6128525,100,4000
5870353,1400,9800
6141323,100,5000
6146089,50,1800
6013647,3700,40000
6154432,4500,30000
6284825,50,5200
5913471,300,3500
5849033,4300,30000
6182599,50,2900
6237363,300,15000
5838009,300,4400
6350640,50,4500
6205028,50,2000
6139650,400,8800
5657932,200,5900
6326879,400,19000
6144499,1200,30000
6164272,1900,30000
6237451,50,3000
5870959,600,9800
6334156,200,7700
6014458,700,15000
6244975,50,4500
6089011,50,4100
6103298,3300,30000
5935559,100,700
6065687,100,15000
6061314,100,4400
6226755,600,12000
6163973,50,9500
6427667,50,7600
6162992,100,10000
6174279,300,20000
6373178,200,12000
5968764,200,4300
6411975,100,9500
6391406,200,7700
6178825,500,13000
6458885,50,1300
6236914,50,4200
5937518,600,3900
6286767,600,20000
6277096,400,5600
6134629,100,1300
6023759,100,1700
6206009,600,13000
5799261,700,5300
6391399,50,2900
6311781,500,9400
6361801,50,9900
6143240,300,8200
6297714,50,3800
6009316,4800,11000
6121213,50,3200
5961712,1100,5100
6423466,200,16000
6178571,200,5800
6081951,800,11000
6376241,100,11000
6156282,500,20000
6163980,200,17000
6278959,700,17000
6463419,50,1600
5910551,100,1100
6025826,100,2600
6415368,50,4800
5969642,800,14000
5927125,100,4100
6398739,200,9000
6074767,100,1600
6331486,50,5200
5871573,100,1300
6470022,200,15000
6524564,100,3200
6255759,1100,20000
6204711,1100,70000
6238791,1100,9300
6200675,2000,30000
6462793,50,2000
6155881,100,7700
5937262,600,6900
6001004,50,550
6222105,700,30000
6222104,50,3100
6029537,500,4800
6114419,100,5400
6178654,50,2700
5928016,50,400
6191598,50,1400
5968256,400,7100
6201822,1500,20000
6321579,50,2500
6327963,600,20000
6227277,100,4500
5888141,400,7000
6164131,200,7800
6378971,100,4200
6378970,100,4500
5935734,50,1900
6292377,50,8700
6009308,3200,4600
6332011,50,1600
5795917,400,9100
6313003,100,2000
6289463,500,13000
6415231,100,10000
6394421,50,1900
5701262,50,2500
6170145,400,20000
6291397,100,17000
6400029,50,5700
6288993,200,10000
6037142,400,11000
6037228,500,9000
6074216,200,4000
5938483,50,1100
6091993,50,3700
6204318,100,2700
6262860,100,3200
6132028,200,4300
6331944,50,3100
6314057,200,7300
5879466,200,2900
5657930,200,11000
6316026,200,7200
6425819,50,7800
6052853,100,2400
5849094,300,1800
6177073,50,2700
5751973,200,3700
6120812,400,13000
6243614,100,1200
6263205,100,19000
6178773,600,19000
6529591,100,1900
6121535,100,1000
5988687,1300,20000
6178823,400,11000
6453637,50,7100
6165417,100,4000
6147353,400,19000
6298610,200,18000
5969575,100,6000
6115062,100,3200
5993822,100,4000
6172615,50,450
6075111,100,2500
6270550,100,6100
6468347,200,20000
6202310,100,3800
6233456,200,3800
6155890,100,2300
6111913,50,1000
6183527,400,20000
6449611,100,18000
6221908,200,6800
6097176,200,12000
6316241,100,1300
5927988,200,5700
6164291,400,9800
6108172,600,11000
6490881,50,3900
5627631,400,6500
6359581,400,40000
6313794,200,20000
6313731,500,20000
6244871,100,9100
5997471,200,4800
6043421,50,1900
5944938,500,10000
6212827,100,2600
6227262,1300,16000
6186077,50,1400
6186109,50,1600
6127186,300,4000
6471366,50,8300
6218431,100,13000
6350646,50,6500
6237076,1000,17000
6056923,100,1300
6085561,200,4000
6386831,200,40000
6317927,100,2700
5977383,50,2200
6253553,50,5900
5960048,100,1600
6097344,50,900
6049269,100,3400
6034788,200,3500
5751970,200,2800
5795969,200,5500
6394441,50,7300
6278963,1200,30000
6012584,1300,40000
6126426,50,4800
6193743,500,8800
6185095,100,3400
6322878,50,3400
6185094,50,2000
6529590,300,8000
6471360,50,6000
5996797,50,750
6271331,200,3500
6224701,50,1200
6109139,100,3700
5937308,100,2600
5322301,700,12000
6004175,700,4900
6091613,50,2100
6183519,100,9900
6183506,100,10000
6065144,600,11000
6102533,200,2800
6270537,50,4600
6391691,900,20000
6061037,50,1000
6038615,300,1900
6123736,50,1500
6261622,400,2100
6110393,200,4000
6110346,50,1100
6110391,200,1800
6301263,50,1300
6323730,300,20000
6366788,400,14000
6241612,100,1500
6271336,200,2500
6113358,400,2200
5888145,300,5400
6238741,100,550
5838003,600,2300
6071630,2900,90000
6197075,300,6700
6132522,100,1500
6220926,300,8200
6281827,400,6400
6184726,50,2300
6134602,200,3200
6097227,50,450
6322824,100,4800
6075612,50,1100
5992306,1300,30000
6149085,100,2500
6441758,200,30000
6178774,100,3700
5985938,300,4900
5839326,100,1700
6109249,2000,14000
5951665,200,2700
6306558,200,8700
6306447,100,4300
6076948,300,11000
5896699,400,16000
6018937,300,4600
6241860,700,9600
6241912,100,1600
6481869,50,5200
6217135,900,20000
6321982,1000,20000
6242447,2400,30000
6183528,1100,40000
6228712,50,1000
5902989,100,5500
5929984,50,800
6260265,1100,11000
6043761,200,8800
6190798,100,5000
5941704,3400,60000
6176067,900,20000
6000058,500,30000
6367855,50,2100
6271294,1000,19000
6344637,50,3400
5983378,800,30000
6416465,700,30000
6345367,50,11000
6345632,400,30000
6244974,200,7100
6290703,50,5800
6226566,600,30000
6262846,200,5600
5932228,500,3900
6425818,300,12000
6442156,100,7500
6119282,200,6300
6290684,400,17000
6290587,50,4200
6103360,100,5300
6278378,50,7800
6315191,50,4400
6140944,1400,17000
6321196,200,6700
6187691,400,20000
6155564,300,10000
6204141,100,6200
6270546,200,20000
6481868,50,3800
6471921,400,13000
6073090,300,7800
6359008,2400,50000
6331284,50,650
6296854,100,5200
6109239,2200,20000
6109237,2300,14000
6009668,100,5000
6237040,300,11000
6273841,900,14000
6142628,200,14000
6203854,1700,30000
5849399,2400,30000
6331318,50,1700
5866769,7200,17000
6286766,300,20000
6487870,300,12000
6197080,2000,30000
6507757,50,9400
6352237,300,7300
6099337,100,1400
6221780,100,7400
6381410,200,13000
6415687,400,14000
5940566,100,900
6221339,50,3400
6146695,300,9200
6503006,50,3200
6263393,1100,10000
6386047,500,17000
6174300,200,10000
6330365,200,9400
6131110,200,5200
6278962,2100,30000
6120868,800,20000
5923015,400,5200
6045652,1000,20000
6103362,400,20000
6348086,200,4800
5718867,500,8600
6515776,50,2200
6204374,50,13000
5989856,100,8600
6373264,50,4500
6151245,50,1600
6144502,500,17000
5821913,200,10000
6190799,100,6400
6305141,50,3800
6076949,100,5700
6190793,50,3300
6266439,100,18000
6275106,50,3300
5945895,1200,10000
5903134,100,1600
6392200,300,30000
6401726,200,10000
5983841,6800,20000
6211659,1400,13000
6296867,300,7900
6182788,1900,18000
6372123,300,6300
6195559,1900,40000
6394439,50,5700
6290675,50,5100
6061364,50,2100
6207530,100,5300
5860714,500,10000
6103354,100,4400
6278964,1600,30000
5626710,800,9000
6386864,100,20000
6046710,800,16000
6187592,100,12000
6131590,50,850
6116280,400,8200
6287132,500,20000
5825945,100,2500
6154607,100,4200
6350645,400,18000
5993286,900,20000
6237394,300,14000
5951631,1000,8700
6359183,100,20000
6139177,100,6200
5849051,2500,20000
6084394,100,2400
6176065,700,19000
6037413,100,6800
6213239,600,10000
6174281,100,5700
