height,weight,size
160.0,56.0,M
160.0,56.0,M
160.0,56.0,M
160.0,56.0,M
160.0,56.0,M
160.0,56.0,M
160.0,56.0,M
160.0,56.0,M
160.0,56.0,M
160.0,56.0,M
160.0,56.0,M
160.0,56.0,M
160.0,56.0,M
160.0,56.0,M
160.0,56.0,M
160.0,56.0,M
160.0,56.0,M
160.0,56.0,M
160.0,56.0,M
160.0,56.0,M
160.0,56.0,M
163.0,68.0,M
163.0,68.0,M
163.0,68.0,M
163.0,68.0,M
163.0,68.0,M
163.0,68.0,M
163.0,68.0,M
162.0,70.0,L
162.0,70.0,L
162.0,70.0,L
162.0,70.0,L
162.0,50.0,M
162.0,50.0,M
162.0,50.0,M
162.0,50.0,M
162.0,50.0,M
166.0,50.0,S
162.0,70.0,L
162.0,70.0,L
162.0,70.0,L
154.0,43.0,S
154.0,43.0,S
154.0,43.0,S
154.0,43.0,S
164.0,56.0,M
164.0,56.0,M
164.0,56.0,M
164.0,56.0,M
160.0,50.0,M
160.0,50.0,M
160.0,50.0,M
154.0,43.0,S
154.0,43.0,S
154.0,43.0,S
154.0,43.0,S
160.0,65.0,L
160.0,65.0,L
160.0,65.0,L
160.0,65.0,L
160.0,65.0,L
162.0,50.0,M
162.0,50.0,M
162.0,50.0,M
162.0,50.0,M
162.0,50.0,M
171.0,62.0,L
171.0,62.0,L
171.0,62.0,L
171.0,62.0,L
171.0,62.0,L
159.0,44.0,S
159.0,44.0,S
159.0,44.0,S
159.0,44.0,S
159.0,44.0,S
171.0,62.0,L
171.0,62.0,L
171.0,62.0,L
158.0,50.0,S
158.0,50.0,S
158.0,50.0,S
158.0,50.0,S
154.0,60.0,XL
154.0,60.0,XL
154.0,60.0,XL
154.0,60.0,XL
154.0,60.0,XL
162.0,50.0,M
162.0,50.0,M
158.0,50.0,S
158.0,50.0,S
158.0,50.0,S
158.0,50.0,S
162.0,50.0,M
162.0,50.0,M
162.0,50.0,M
162.0,50.0,M
162.0,50.0,M
162.0,50.0,M
162.0,50.0,M
172.0,66.0,L
172.0,66.0,L
172.0,66.0,L
172.0,66.0,L
172.0,66.0,L
157.0,48.0,S
157.0,48.0,S
157.0,48.0,S
157.0,48.0,S
159.0,44.0,S
159.0,44.0,S
159.0,44.0,S
157.0,44.0,S
157.0,44.0,S
157.0,44.0,S
157.0,44.0,S
171.0,62.0,L
171.0,62.0,L
171.0,62.0,L
171.0,62.0,L
157.0,44.0,S
157.0,44.0,S
157.0,44.0,S
157.0,44.0,S
151.0,47.0,S
151.0,47.0,S
151.0,47.0,S
151.0,47.0,S
163.0,68.0,M
163.0,68.0,M
163.0,68.0,M
163.0,68.0,M
163.0,68.0,M
163.0,68.0,M
163.0,68.0,M
163.0,68.0,M
163.0,68.0,M
163.0,68.0,M
163.0,68.0,M
163.0,68.0,M
163.0,68.0,M
163.0,68.0,M
163.0,68.0,M
163.0,68.0,M
163.0,68.0,M
163.0,68.0,M
163.0,68.0,M
163.0,68.0,M
163.0,68.0,M
163.0,68.0,M
163.0,68.0,M
163.0,68.0,M
160.0,47.0,S
160.0,47.0,S
160.0,47.0,S
160.0,47.0,S
172.0,66.0,L
172.0,66.0,L
172.0,66.0,L
172.0,66.0,L
172.0,66.0,L
165.0,54.0,S
165.0,54.0,S
159.0,51.0,M
159.0,51.0,M
159.0,51.0,M
159.0,51.0,M
157.0,44.0,S
162.0,70.0,L
162.0,70.0,L
162.0,70.0,L
162.0,70.0,L
162.0,70.0,L
162.0,70.0,L
162.0,70.0,L
162.0,70.0,L
162.0,70.0,L
165.0,54.0,S
165.0,54.0,S
164.0,56.0,M
164.0,56.0,M
164.0,56.0,M
164.0,56.0,M
164.0,56.0,M
164.0,56.0,M
164.0,56.0,M
164.0,56.0,M
164.0,56.0,M
158.0,48.0,M
158.0,48.0,M
158.0,48.0,M
158.0,48.0,M
158.0,48.0,M
158.0,48.0,M
158.0,48.0,M
158.0,48.0,M
158.0,48.0,M
158.0,48.0,M
158.0,48.0,M
158.0,48.0,M
158.0,48.0,M
157.0,44.0,S
157.0,44.0,S
157.0,44.0,S
157.0,44.0,S
160.0,56.0,M
160.0,56.0,M
160.0,56.0,M
160.0,56.0,M
163.0,58.0,M
163.0,58.0,M
163.0,58.0,M
163.0,58.0,M
163.0,58.0,M
161.0,52.0,M
161.0,52.0,M
161.0,52.0,M
161.0,50.0,M
161.0,50.0,M
161.0,50.0,M
161.0,50.0,M
158.0,63.0,L
158.0,63.0,L
158.0,63.0,L
158.0,63.0,L
157.0,44.0,S
157.0,44.0,S
157.0,44.0,S
157.0,44.0,S
157.0,44.0,S
160.0,65.0,L
160.0,65.0,L
160.0,65.0,L
161.0,59.0,L
161.0,59.0,L
161.0,59.0,L
161.0,59.0,L
160.0,65.0,L
160.0,65.0,L
160.0,65.0,L
160.0,65.0,L
160.0,65.0,L
158.0,57.0,M
158.0,57.0,M
158.0,57.0,M
158.0,57.0,M
158.0,57.0,M
158.0,57.0,M
158.0,57.0,M
158.0,57.0,M
158.0,57.0,M
158.0,57.0,M
158.0,57.0,M
158.0,57.0,M
158.0,57.0,M
158.0,57.0,M
158.0,57.0,M
158.0,57.0,M
158.0,57.0,M
159.0,44.0,S
159.0,44.0,S
159.0,44.0,S
159.0,44.0,S
159.0,44.0,S
159.0,44.0,S
159.0,44.0,S
159.0,44.0,S
160.0,52.0,M
160.0,52.0,M
160.0,52.0,M
160.0,52.0,M
160.0,52.0,M
167.0,50.0,M
167.0,50.0,M
160.0,65.0,L
160.0,65.0,L
160.0,65.0,L
160.0,65.0,L
172.0,66.0,L
172.0,66.0,L
172.0,66.0,L
172.0,66.0,L
172.0,66.0,L
167.0,50.0,M
167.0,50.0,M
167.0,50.0,M
167.0,50.0,M
157.0,44.0,S
157.0,44.0,S
157.0,44.0,S
157.0,44.0,S
158.0,48.0,M
158.0,48.0,M
158.0,48.0,M
158.0,48.0,M
158.0,48.0,M
158.0,48.0,M
158.0,48.0,M
158.0,48.0,M
158.0,48.0,M
158.0,48.0,M
158.0,48.0,M
158.0,48.0,M
158.0,48.0,M
158.0,48.0,M
158.0,48.0,M
158.0,48.0,M
158.0,48.0,M
158.0,50.0,M
158.0,50.0,M
158.0,50.0,M
166.0,60.0,L
166.0,60.0,L
166.0,60.0,L
166.0,60.0,L
166.0,60.0,L
173.0,64.0,L
173.0,64.0,L
173.0,64.0,L
164.0,56.0,M
164.0,56.0,M
164.0,56.0,M
164.0,56.0,M
173.0,64.0,L
173.0,64.0,L
173.0,64.0,L
173.0,64.0,L
167.0,50.0,M
167.0,50.0,M
167.0,50.0,M
167.0,50.0,M
158.0,56.0,M
158.0,56.0,M
158.0,56.0,M
158.0,56.0,M
158.0,56.0,M
170.0,62.0,XL
170.0,62.0,XL
170.0,62.0,XL
170.0,62.0,XL
163.0,56.0,M
163.0,56.0,M
163.0,56.0,M
163.0,56.0,M
163.0,56.0,M
163.0,56.0,M
163.0,56.0,M
163.0,56.0,M
163.0,66.0,L
163.0,66.0,L
163.0,66.0,L
163.0,66.0,L
166.0,60.0,L
166.0,60.0,L
166.0,60.0,L
166.0,60.0,L
166.0,60.0,L
166.0,60.0,L
166.0,60.0,L
166.0,60.0,L
166.0,60.0,L
166.0,60.0,L
166.0,60.0,L
166.0,60.0,L
166.0,60.0,L
166.0,60.0,L
166.0,60.0,L
162.0,66.0,XL
